id,realm,material_type,author_inified,title_en,edition,language,translator,paratext_en,editor,illustrator,cover_desing_en,city_en,publisher_en,year
251,RU,Book,Aleksandr Solzhenitsyn,One Day in the Life of Ivan Denisovich,,English,Ralph Parker,Introduction by: Marvin L. Kalb,,,,New York,Dutton,1963
252,RU,Book,Joseph Brodsky,Collines et autres poèmes,,French,Jean-Jacques Marie,Foreword by: Pierre Emmanuel,,,,Paris,Éditions du Seuil,1966
255,RU,Book,Alexander Galich,Kogda ia vernus: stikhi i pesni 1972-1977,,Russian,,,,,Eduard Zelenin,Frankfurt am Main,Posev,1977
256,RU,Book,Alexander Galich,Kogda ia vernus: polnoe sobranie stikhov i pesen,,Russian,,,,,I. Zakharov-Ross,Frankfurt am Main,Posev,1981
257,RU,Book,Georgi Vladimov,"Faithful Ruslan, The Story of a Guard Dog",,English,Michael Glenny,Introduction by: Richard Adams,,,Dianne Pinkowitz,New York,Simon and Schuster,1979
258,RU,Book,Bulat Okudzhava,65 Songs. Musical arrangements,,Russian; English,Eve Shapiro,,Vladimir Frumkin,,,Ann Arbor,Ardis,1980
259,RU,Book,Fyodor Abramov,The Dodgers,,English,,,,,,London,Flegon,1963
260,RU,Book,Sofia Polyakova,Zakatnye ony dni: Tsvetaeva i Parnak,,Russian,,,,,,Ann Arbor,Ardis,1983
263,RU,Book,Fyodor Abramov,"The New Life, A Day on a Collective Farm",,English,George Reavey,Introduction by: George Reavey,,,,New York,Grove,1963
264,RU,Book,Fyodor Abramov,One Day in the New Life.,,English,David Floyd,,,,,New York,Praeger,1963
265,RU,Book,Anna Akhmatova,"Stikhi, Perepiska, Vospominaniia, Ikonografiia",,Russian,,,Ellendea Proffer,,,Ann Arbor,Ardis,1977
266,RU,Book,Nikolay Gumilev,"Sobranie sochinenii, In 4 Vols",,Russian,,,Gleb Struve; Boris Filippov,,,Washington D.C.,Victor Kamkin,1962-1968
267,RU,Book,Lydia Chukovskaya,Going Under. Novel,,English,Peter M. Weston,,,,,New York,Quadrangle: New York Times Book,1972.
268,RU,Book,Nadezhda Mandelstam,Hope Agains Hope,,English,Max Hayward,Introduction by: Clarence Brown,,,,New York,Atheneum,1970
269,RU,Book,,"Pamiati A.A Akhmatovoi. Stikhi, pis'ma, vospominaniia",,Russian,,,,,,Paris,YMCA-Press,1974
270,RU,Book,Nadezhda Mandelstam,Hope Abandoned,,English,Max Hayward,,,,,New York,Atheneum,1974
271,RU,Book,Lydia Chukovskaya,Het verlaten huis,,Dutch,Wim Hartog,,,,,Amsterdam,Arbeiderspers,1968
272,RU,Book,Dmitri Prigov,Poemogrammy,,Russian,,,,,S. Shabalin,Paris,Zhurnal A-Ya,1985
273,RU,Book,Vladimir Dudintsev,Ne khlebom edinym,,Russian,,,,,,New York,Novoe russkoe slovo,1957
274,RU,Book,Evgeny Shvarts,Memories,,Russian,,"Publication, introduction, commentary by: Lev Loseff",,,,Paris,La Presse Libre,1982
275,RU,Book,Alexander Vvedensky,Polnoe sobranie sochinenii,,Russian,,"Publication, introduction, commentary by: Mikhail Meilakh",,,,Ann Arbor,Ardis,1980
276,RU,Book,Andrei Amalrik,Involuntary Journey to Siberia,,English,Manya Harari; Max Hayward,Introduction by: Max Hayward,,,,New York,Harcourt Brace Jovanovich,1970
