id,realm,material_type,author_inified,country_of_birth_original,country_of_birth_modern,sex or gender,title_en,edition,language,translator,paratext_en,editor,illustrator,cover_desing_en,city_en,publisher_en,year
41,RU,Book,Andrei Sinyavsky,Russia,Russia,male,Liubimov,,Russian,,Introduction by: Boris Filippov,,,,Washington D.C.,B. Filipoff,1964
42,RU,Book,Andrei Sinyavsky,Russia,Russia,male,Mysli vrasplokh,,Russian,,Introduction by: Andrew Field,,,,New York,Rauzen,1966
43,RU,Book,Mikhail Bulgakov,Russian Empire,Ukraine,male,Master i Margarita,,Russian,,Preface by: Archpriest Ioann San-Frantsisskii,,,,Paris,YMCA-Press,1967
44,RU,Book,Mikhail Bulgakov,Russian Empire,Ukraine,male,Ivan Vasilievich. Mertvye dushi,,Russian,,,,,,Munich,TZP,1964
45,RU,Book,Mikhail Bulgakov,Russian Empire,Ukraine,male,Sbornik rasskazov,,Russian,,,,,,New York,Izdatel'stvo imeni Chekhova,1952
46,RU,Book,Mikhail Bulgakov,Russian Empire,Ukraine,male,Sobache serdtse,,Russian,,,,,Yuri Annenkov,Paris,YMCA-Press,1969
48,RU,Book,Bella Akhmadulina,Soviet Union,Russia,female,"Oznob, Izbrannye proizvedenia",,Russian,,Introduction by: Natalia Tarasova,Natalia Tarasova,,,Frankfurt am Main,Possev,1968
49,RU,Book,Bulat Okudzhava,Soviet Union,Russia,male,Proza i poeziia,4,Russian,,Introduction by: Natalia Tarasova,Natalia Tarasova,,,Frankfurt am Main,Possev,1968
50,RU,Book,Yury Trifonov,Soviet Union,Russia,male,Dom na naberezhnoi,,Russian,,,,,,Ann Arbor,Ardis,1983
51,RU,Book,Anna Akhmatova,Russian Empire,Ukraine,female,Izbrannye stikhotvoreniia,,Russian,,,,,,New York,Izdatel'stvo imeni Chekhova,1952
52,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,"Arkhipelag GULag. Opyt khudozhetvennogo issledovaniia. 1918-1956, 3 vols",,Russian,,,,,,Paris,YMCA-Press,1973-1975
53,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,Olen i shalashovka The Love-Girl and the Innocent,,Russian,,,,,,London,Flegon,1968
54,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,Avgust chetyrnadtsatogo August 1914,,Russian,,,,,,Paris,YMCA-Press,1971
55,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,V kruge pervom In the First Circle,,Russian,,,,,Yuri Annenkov,Paris,YMCA-Press,1969
56,RU,Book,Yury Dombrovsky,Russian Empire,Russia,male,Khranitel drevnostei,,Russian,,,,,,Paris,YMCA-Press,1978
57,RU,Book,Yury Dombrovsky,Russian Empire,Russia,male,Fakultet nenuzhnykh veshchei,,Russian,,,,,"A, Leonov",Paris,YMCA-Press,1978
58,RU,Book,Anatoly Marchenko,Soviet Union,Russia,male,Moi pokazaniia,,Russian,,,,,,Paris,La Presse Libre,1969
59,RU,Book,I. Ivanov (Andrei Remezov),,,male,Est' li zhizn' na Marse?,,Russian,,,,,,Paris,Instytut Literacki,1961
60,RU,Book,Eduard Kuznetsov,Soviet Union,Russia,male,Dnevniki,,Russian,,,,,,Paris,Les Éditeurs Réunis,1973
61,RU,Book,Eduard Kuznetsov,Soviet Union,Russia,male,Mordovskii marafon,,Russian,,,,,,Ramat-Gan,Moskva - Ierusalim,1979
62,RU,Book,Yevgeny Popov,Russian Empire,Russia,male,Veselie Rusi (Merry-Making in Old Russia),,Russian,,,,,,Ann Arbor,Ardis,1981
63,RU,Book,Semyon Lipkin,Soviet Union,Ukraine,male,Stalingrad Vasiliia Grossmana,,Russian,,,,,,Ann Arbor,Ardis,1986
64,RU,Book,Lev Kopelev,Russian Empire,Ukraine,male,Khranit vechno,,Russian,,,,,,Ann Arbor,Ardis,1975
65,RU,Book,Lev Kopelev,Russian Empire,Ukraine,male,I sotvoril sebe kumira,,Russian,,,,,,Ann Arbor,Ardis,1978
66,RU,Book,Lev Kopelev,Russian Empire,Ukraine,male,Utoli moia pechali,,Russian,,,,,,Ann Arbor,Ardis,1981
67,RU,Book,Lev Kopelev,Russian Empire,Ukraine,male,"Vera v slovo, Vystupleniia i pislma 1962-1976 gg",,Russian,,,,,,Ann Arbor,Ardis,1977
68,RU,Book,Andrei Bitov,Soviet Union,Russia,male,Pushkinskii dom,,Russian,,,,,,Ann Arbor,Ardis,1978
69,RU,Book,Fazil Iskander,Soviet Union,Georgia,male,Sandro iz Chegema,,Russian,,,,,,Ann Arbor,Ardis,1979
70,RU,Book,Fazil Iskander,Soviet Union,Georgia,male,"Sandro iz Chegema, Novye glavy",,Russian,,,,,,Ann Arbor,Ardis,1981
71,RU,Book,Vladimir Uflyand,Soviet Union,Russia,male,"Teksty, 1955-1977",,Russian,,,,,,Ann Arbor,Ardis,1978
72,RU,Book,Vladimir Voinovich,Soviet Union,Tajikistan,male,"Ivankiada, ili rasskaz o vselenii pisatelia Voinovicha v novuiu kvartiru The Ivankiad, Or the Tale of the Writer Voinovichs Installation in His New Apartment",,Russian,,,,,,Ann Arbor,Ardis,1976
73,RU,Book,Vladimir Voinovich,Soviet Union,Tajikistan,male,Zhizn i neobychainye prikliucheniia soldata Ivana Chonkina. Roman-anekdot v piati chastiakh (The Life and Extraordinary Adventures of Private Ivan Chonkin. A Novel-Anecdote in Five Parts),,Russian,,,,,,Paris,YMCA-Press,1975
74,RU,Book,Vladimir Voinovich,Soviet Union,Tajikistan,male,Putem vzaimnoi perepiski (By Means of Mutual Correspondence),,Russian,,,,,Arcady,Paris,YMCA-Press,1979
75,RU,Book,Vladimir Voinovich,Soviet Union,Tajikistan,male,"Pretendent na prestol, Novye prikliucheniia soldata Ivana Chonkina (Pretender to the Throne: Further Adventures of Private Ivan Chonkin)",,Russian,,,,,,Paris,YMCA-Press,1979
76,RU,Book,Vladimir Grigoryevich Kornilov,Soviet Union,Russia,male,Demobilizatsiia,,Russian,,,,,A.V. Rusak,Frankfurt am Main,Possev,1976
77,RU,Book,Vladimir Dudintsev,Soviet Union,Ukraine,male,Ne khlebom edinym,,Russian,,,,,,Munich,TSOPE,1957
78,RU,Book,Yuli Daniel,Soviet Union,Russia,male,"Stikhi iz nevoli, Samizdat Library series, No, 3",,Russian,,,,,,Amsterdam,Alexander Herzen Foundation,1971
79,RU,Book,Vladimir Sorokin,Russia,Russia,male,Ochered,,Russian,,,,Illustrations by: A. Gran; M. Gran,,Paris,Syntaxis,1985
80,RU,Book,Yevgeny Kropivnitsky,Russian Empire,Russia,male,Pechalno ulybnutsia... Stikhi i proza,,Russian,,,Aleksandr Glezer; Maia Muravnik,,,Paris,Tret'ia volna,1977
81,RU,Book,Genrikh Sapgir,Russia,Russia,male,Sonety na rubashkakh,,Russian,,,,,,Paris,Tret'ia volna,1978
82,RU,Book,Andrei Amalrik,Soviet Union,Russia,male,Pesy,,Russian,,,,,,Amsterdam,Alexander Herzen Foundation,1970
83,RU,Book,Bulat Okudzhava,Soviet Union,Russia,male,"Bud' zdorov, shkoliar! Stikhi (opublikovannye i neopublikovannye)",,Russian,,,,,,Frankfurt am Main,Possev,1964
84,RU,Book,Nikolay Erdman,Russian Empire,Russia,male,Samoubiitsa,,Russian,,,,,,Ann Arbor,Ardis,1980
85,RU,Book,Semyon Lipkin,Soviet Union,Ukraine,male,Volia,,Russian,,,,,,Ann Arbor,Ardis,1981
86,RU,Book,Andrei Platonov,Russian Empire,Russia,male,Chevengur,,Russian,,Foreword by: Michel Heller,,,Vasily Chekrygin,Paris,YMCA-Press,1972
87,RU,Book,Andrei Platonov,Russian Empire,Russia,male,Kotlovan,,Russian,,Foreword by: Joseph Brodsky,,,,Ann Arbor,Ardis,1979
88,RU,Book,Andrei Platonov,Russian Empire,Russia,male,Sharmanka,,Russian,,,,,,Ann Arbor,Ardis,1975
89,RU,Book,Inna Lisnyanskaya,Soviet Union,Azerbaijan,female,Stikhotvoreniia Inny Lisnianskoi. Na opushke sna,,Russian,,,,,,Ann Arbor,Ardis,1984
90,RU,Book,Boris Vakhtine,Soviet Union,Russia,male,Dve povesti,,Russian,,,,,,Ann Arbor,Ardis,1982
91,RU,Book,Inna Varlamova,Soviet Union,Russia,female,Mnimaia zhizn',,Russian,,,,,,Ann Arbor,Ardis,1979
